cabinet,type,name type,scientific name,common name,number,taxonomic classification,taxonomic classifivation
2.01-2.03,a,common,,common cuckoo,,,FIX
2.01-2.03,a,common,,chestnut-sided warbler,,,FIX
2.01-2.03,a,common,,bobolink,,,FIX
2.01-2.03,a,common,,pine grosbeak,,,FIX
2.01-2.03,a,common,,ruby-throated hummingbird,,,FIX
2.01-2.03,a,common,,goldfinch,,,"['Animalia', 'Bilateria', 'Protostomia', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Holometabola', 'Lepidoptera', 'Hepialoidea', 'Hepialidae', 'Oxycanus', 'Oxycanus goldfinchi']"
2.01-2.03,a,common,,magnolia warbler,,,FIX
2.01-2.03,a,common,,ruby-throated hummingbird,,,FIX
2.01-2.03,a,common,,baltimore oriole,,,FIX
2.01-2.03,a,common,,heron,,,FIX
2.01-2.03,a,common,,snow bunting,,,FIX
2.01-2.03,a,common,,northern bobwhite,,,FIX
2.01-2.03,a,common,,yellow-headed blackbird,,,FIX
2.01-2.03,a,common,,crow,,,FIX
2.01-2.03,a,common,,blackburnian warbler,,,FIX
2.01-2.03,a,common,,black-throated green warbler,,,FIX
2.01-2.03,a,common,,ruby-throated hummingbird,,,FIX
2.01-2.03,a,common,,scarlet tanager,,,FIX
2.01-2.03,a,common,,rose-breasted grosbeak,,,FIX
2.01-2.03,a,common,,yellow warbler,,,FIX
2.01-2.03,a,common,,cedar waxwing,,,FIX
2.01-2.03,a,common,,chestnut-sided warbler,,,FIX
2.01-2.03,a,common,,american redstart,,,FIX
2.01-2.03,a,common,,ruby-throated hummingbird,,,FIX
2.01-2.03,a,common,,baltimore oriole,,,FIX
2.01-2.03,a,common,,magnolia warbler,,,FIX
2.01-2.03,a,common,,bobolink,,,FIX
2.01-2.03,a,common,,pine grosbeak,,,FIX
2.01-2.03,a,common,,red-breasted merganser,,,FIX
2.01-2.03,a,common,,greater yellowlegs,,,FIX
2.01-2.03,a,common,,sora,,,FIX
2.01-2.03,a,common,,wilson's snipe,,,FIX
2.01-2.03,a,common,,red-breasted merganser,,,FIX
2.01-2.03,a,common,,american robin,,,FIX
2.01-2.03,a,scientific,tapirus,tapir,,,FIX
2.01-2.03,a,common,,burmese python,,,FIX
2.01-2.03,a,common,,loggerhead sea turtle,,,FIX
2.01-2.03,a,common,,green sea turtle,,,FIX
2.01-2.03,a,common,,clam,,,FIX
2.01-2.03,a,common,,periwinkle,,,FIX
2.01-2.03,a,common,,periwinkle,,,FIX
2.01-2.03,a,common,,shore crab,,,FIX
2.01-2.03,a,common,,cross-barred venus,,,FIX
2.01-2.03,a,common,,mule deer,,,FIX
2.01-2.03,a,common,,eurasian sparrowhawk,,,FIX
2.01-2.03,a,common,,finch,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Amphibia', 'Anura', 'Dicroglossidae', 'Dicroglossinae', 'Limnonectes', 'Limnonectes finchi']"
2.01-2.03,a,common,,northern bobwhite,,,FIX
2.01-2.03,a,common,,white-headed duck,,,FIX
2.01-2.03,a,common,,ferruginous duck,,,FIX
2.01-2.03,a,common,,eastern meadowlark,,,FIX
2.01-2.03,a,common,,passenger pigeon,,,FIX
2.01-2.03,a,common,,scarlet tanager,,,FIX
2.01-2.03,a,common,,cedar waxwing,,,FIX
2.01-2.03,a,common,,snow bunting,,,FIX
2.01-2.03,a,common,,purple finch,,,FIX
2.01-2.03,a,common,,indigo bunting,,,FIX
2.01-2.03,a,common,,horned lark,,,FIX
2.01-2.03,a,common,,baltimore oriole,,,FIX
2.01-2.03,a,common,,baltimore oriole,,,FIX
2.01-2.03,a,common,,loggerhead shrike,,,FIX
2.01-2.03,a,common,,brown-headed cowbird,,,FIX
2.01-2.03,a,common,,common grackle,,,FIX
